asin,title,title_score,thumbnail_score,price_score,trust_score,position_score,search_score,search_rank
B0GMZ2QD75,"Jocoevol Runder Esstisch und 4 Esszimmerstühle Set, Essgruppe 5-Teilig, Esszimmertisch mit Ablage und 4 stühle für Küche, Wohnzimmer, Balkon, Restaurant, Büro (Vintage Braun, 107x107x76cm)",64.58,57.61,30.0,62.34,22.82,52.68,88.0
B0H38K62K2,"WOLTU Esszimmerstühle 4er Set, Küchenstühle mit Patchwork-Design, mit Rückenlehne und Holzbeinen, bis 150 kg belastbar, für Esszimmer Wohnzimmer, Mehrfarbig",56.16,72.82,63.0,66.23,25.19,61.1,50.0
B0CX51L29M,"GIANTEX Esstisch mit 2 Stühlen & Bank, Küchentisch Esszimmertisch mit Ablage, Essgruppe Industrie aus Holz & Metall, Esszimmergruppe Sitzgruppe, Esszimmer Tisch Set für 4 Personen (Rustikal Braun)",64.7,54.95,39.0,62.84,22.95,53.37,85.0
B00Q0856KA,"Hela Tische, 4er Set Schwingstuhl Tabea, Kunstleder Schwarz-Weiß, Griffloch, Metallgestell Chrom, 43 x 61 x 99 cm",68.69,97.25,20.0,73.0,22.89,66.24,26.0
B09ZYHF44Y,"tectake® Küchentisch mit Stühlen, Esstisch und 6er Set Esszimmerstühle, Küchenstühle modern, Sitzgruppe Küche, Küchenmöbel, Hochglanz Glastisch, Esszimmer, Essstühle für Küchentresen - schwarz/schwarz",42.94,41.38,40.0,75.93,23.02,46.64,100.0
B096M54QC4,"H.J WeDoo Esstisch mit 2 Stühle Essgrupp Holztisch und Weiß Skandinavisches Stuhl Esstisch Set für Esszimmer Küche 80cm | Essgruppen Runder Tisch 80 cm, Skandinavisches Design, Massivholzbeine, für Balkon Küche Büro Esszimmer, Weiß Stühlen",41.97,65.69,77.0,73.27,25.19,58.92,68.0
B0FFSYD6PD,"115cm Runder Esstisch mit 4 Esstischstühlen, Küchentisch aus MDF (Travertin-Maserung) und 4 Stühle für Küche, Esszimmer, Wohnzimmer und Büro (Beige)",62.11,85.88,6.0,63.7,30.34,57.97,74.0
B0C8N7VCFZ,"WOLTU Esszimmerstuhl drehbar 6er Set, Küchenstuhl, Polsterstuhl, Drehstuhl, bequemer Stuhl mit Armlehnen Rückenlehne, Armlehnenstuhl für Esszimmer Wohnzimmer, mit Samtbezug, Schwarz",56.34,90.33,1.0,78.6,25.31,59.58,63.0
B0DKJTD22V,"Esstisch mit 4 Stühlen Esszimmergruppe, 4er Set Esszimmerstühle und 120CM Rechteckig Holztisch Essgruppe für Wohnzimmer Küche Büro (Eiche-Weiß Tischbein Tisch+4 Weiß Stühle)",46.53,81.39,48.0,66.72,22.76,58.87,70.0
B0DCHZX2QN,"Bealife Esszimmerstuhl 6er-Set, Esszimmerstühle für Küche und Esszimmer, gepolsterte Samtstühle mit hoher Rückenlehne, modern (Dunkelgrauer Samt, 6er Set)",58.62,48.93,82.0,70.85,31.89,58.99,67.0
B0G2XHN7X5,"Mondeer Essgruppen, Klappbarer Esstisch mit 4 Stühlen, Esstisch Set mit Rollen und 2 Offenen Ablagen, für Kleine Räume Esszimmer Küche, 120 x 80 x 80 cm, Eiche und Weiß",59.26,69.48,56.0,68.81,22.51,60.07,60.0
B0F7R9MPFR,"Esszimmerstühle 4er Set drehbar, Samt Küchenstühle Essstühle mit Rückenlehne, Metallbeine, Gepolsterte Stühle für Esszimmer Küche, Ergonomisch, Dunkelgrau",56.72,68.44,66.0,62.65,25.56,59.7,62.0
B0G12K198P,"COLAMY Esszimmerstühle 6er Set, Polsternder Stühle Esszimmer mit Rückenlehne, Moderne Küchenstühle Gepolstert, Stoff Dining Chairs mit Back und Holzbeinen für Esszimmer, Küche, Restaurant, Beige",62.1,67.6,0.0,39.16,31.07,46.74,99.0
B0GWMC2ZLV,"Mondeer Essgruppen, Klappbarer Esstisch mit 4 Stühlen und Schublade, Esstisch Set mit Rollen und 2 Offenen Ablagen, für Kleine Räume Esszimmer Küche, 140 x 80 x 75 cm (Rustikales Braun und Schwarz)",59.23,42.42,44.0,63.41,25.69,49.38,96.0
