asin,image_type,image_index,image_url
B01KO2I7XU,a_plus,0,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/b10bec89-93d1-4957-800a-7aea8f994f0a.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,1,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/7e782a5c-4f23-4840-b714-5aaf34501b01.__CR89,0,1422,1600_PT0_SX200_V1___.jpg"
B01KO2I7XU,a_plus,2,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/6a25cec5-17ef-4021-8bec-2702187b0f7f.__CR0,0,400,450_PT0_SX200_V1___.png"
B01KO2I7XU,a_plus,3,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/504a6722-9bf7-40a7-9df3-9fc43a7021de.__CR88,0,1424,1602_PT0_SX200_V1___.png"
B01KO2I7XU,a_plus,4,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/f146cf11-7ca5-4f3d-88f1-000c4828a2d8.__CR0,0,400,450_PT0_SX200_V1___.png"
B01KO2I7XU,a_plus,5,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/886507c9-e3ee-45f8-9df9-67e8d7298c15.__CR89,0,1422,1600_PT0_SX200_V1___.jpg"
B01KO2I7XU,a_plus,6,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/785e9428-fae4-4a67-97d8-17f794b2fd84.__CR83,0,1333,1500_PT0_SX200_V1___.png"
B01KO2I7XU,a_plus,7,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/3cc1aa16-f68e-4c77-9579-c4127c9a9028.__CR89,0,1422,1600_PT0_SX200_V1___.jpg"
B01KO2I7XU,a_plus,8,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/47b2f3dc-078f-48ce-ad4d-b73135a6e1bc.__CR0,644,1600,656_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,9,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/67bc7200-72c4-481a-9b78-909b94b9ca6a.__CR0,570,1600,656_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,10,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/94ef8d61-4210-494b-9848-a273bc82bffd.__CR0,211,1600,1200_PT0_SX300_V1___.jpg"
B01KO2I7XU,a_plus,11,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/6ca54450-112e-4a54-91c9-8b7477e331c1.__CR0,238,1600,1200_PT0_SX300_V1___.jpg"
B01KO2I7XU,a_plus,12,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/97219d8e-27c3-4e6f-98c7-1e3fd029cf8f.__CR0,260,1600,1200_PT0_SX300_V1___.jpg"
B01KO2I7XU,a_plus,13,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/79e92272-fa90-4a40-91ec-b537d07587e9.__CR0,238,1600,1200_PT0_SX300_V1___.jpg"
B01KO2I7XU,a_plus,14,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/c2bbe6c0-e0fe-4ba2-b49d-561fabccbe6e.__CR0,293,1920,787_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,15,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/8f244365-cf74-4eec-a117-a8b71ee163df.__CR0,404,1500,615_PT0_SX1464_V1___.png"
B01KO2I7XU,a_plus,16,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/3cd76ac0-ce0a-4588-8856-4fda0c784bbb.__CR0,566,1600,656_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,17,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/70d49b5b-3fb7-48c7-92a4-918cfcaacd7d.__CR0,685,1600,656_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,18,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/004676a1-d3ce-4cf4-98b9-90933979795b.__CR0,585,1500,615_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,19,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/81528471-3571-4f8b-9c63-5b22795b1836.__CR0,161,1920,787_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,20,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/b10bec89-93d1-4957-800a-7aea8f994f0a.__CR0,0,1464,600_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,21,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/47b2f3dc-078f-48ce-ad4d-b73135a6e1bc.__CR0,644,1600,656_PT0_SX1464_V1___.jpg"
B01KO2I7XU,a_plus,22,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/67bc7200-72c4-481a-9b78-909b94b9ca6a.__CR0,570,1600,656_PT0_SX1464_V1___.jpg"
